title,price,rating,reviews,availability
PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,,4.5 out of 5 stars,84 ratings,In Stock
"Wireless Controller Dual Vibration Game Joystick Controller for Ps4 Controller/Slim/Pro,Compatible with PS4 Console",,4.0 out of 5 stars,"1,955 ratings",In Stock
"FASIGO PS4 Controller 2 Pack, Wireless PS4 Controller for PS4 / Pro/Slim & PC, with 2 USB C Cable - Black",,4.2 out of 5 stars,32 ratings,In Stock
Grand Theft Auto V: Premium Edition (PS4),,4.6 out of 5 stars,"12,148 ratings",Only 3 left in stock - order soon.
PS4 Media Remote Control for Playstation 4 Console - PS4 Remote with Bluetooth Enabled - PS4 Accessories,,3.9 out of 5 stars,71 ratings,In Stock
"Wireless Controller for PS4 with 2 Thumb Grips, 3.5mm Audio and Turbo Function, Purple Galaxy Custom Design V2 Gamepad Joysticks for PS4, Compatible with PS4, Slim, Pro and Windows PC",,4.2 out of 5 stars,"2,468 ratings",In Stock
"PS4 Controller Charger Dock Station with Charging Cable,1.8 Hour Fast-Charging PS4 Controller Charger Station for Playstation 4 Remote, Replacement for Playstation 4 Controller Charger",,4.7 out of 5 stars,"3,142 ratings",In Stock
DualShock 4 Wireless Controller for PlayStation 4 - Glacier White,,4.6 out of 5 stars,"168,089 ratings",
"PS4 Controller Charger Dock Station, OIVO 1.8Hrs PS4 Controller Charging Dock, Charging Station Replacement for Playstation 4 Dualshock 4 Charger",,4.7 out of 5 stars,"38,472 ratings",In Stock
WWE 2K24 - PlayStation 4,,4.8 out of 5 stars,142 ratings,In Stock
Sony Playstation PS4 1TB Black Console,,4.6 out of 5 stars,"1,502 ratings",In Stock
Sony PlayStation 4 Slim Limited Edition 1TB Gaming Console (Renewed),,4.3 out of 5 stars,"1,435 ratings",Only 2 left in stock - order soon.
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,722 ratings",Only 1 left in stock - order soon.
Sony PlayStation 4 Pro 1TB Console - Black (PS4 Pro),,4.4 out of 5 stars,"4,137 ratings",Only 1 left in stock - order soon.
PlayStation 4 500GB Console [Old Model][Discontinued],,4.5 out of 5 stars,"13,591 ratings",Only 2 left in stock - order soon.
PlayStation 4 Console - 1TB Slim Edition (Renewed),,4.3 out of 5 stars,81 ratings,Not Available
